JobID|JobIDRaw|JobName|User|Account|Partition|State|Submit|Start|End|Elapsed|ElapsedRaw|Timelimit|NNodes|NodeList|NCPUS|ReqMem|MaxRSS|AllocTRES|ReqTRES|TotalCPU|CPUTimeRAW|ExitCode
59145373_0|59145374|deconvolutionfittng|vsc37069|lccbe|gpu_v100|COMPLETED|2026-04-22T14:56:15|2026-04-22T14:56:16|2026-04-22T18:23:26|03:27:10|12430|08:00:00|1|r24g09|14|21000M||billing=124,cpu=14,gres/gpu:tesla=1,gres/gpu=1,mem=294000M,node=1|billing=4,cpu=1,gres/gpu=1,mem=21000M,node=1|05:10:16|174020|0:0
59145373_0.batch|59145374.batch|batch||lccbe||COMPLETED|2026-04-22T14:56:16|2026-04-22T14:56:16|2026-04-22T18:23:26|03:27:10|12430||1|r24g09|14||7704.78M|cpu=14,gres/gpu:tesla=1,gres/gpu=1,mem=294000M,node=1||05:10:16|174020|0:0
59145373_0.extern|59145374.extern|extern||lccbe||COMPLETED|2026-04-22T14:56:16|2026-04-22T14:56:16|2026-04-22T18:23:26|03:27:10|12430||1|r24g09|14|||billing=124,cpu=14,gres/gpu:tesla=1,gres/gpu=1,mem=294000M,node=1||00:00:00|174020|0:0
59145373_1|59145373|deconvolutionfittng|vsc37069|lccbe|gpu_v100|COMPLETED|2026-04-22T14:56:15|2026-04-22T14:56:16|2026-04-22T18:23:23|03:27:07|12427|08:00:00|1|r24g09|13|21000M||billing=119,cpu=13,gres/gpu:tesla=1,gres/gpu=1,mem=273000M,node=1|billing=4,cpu=1,gres/gpu=1,mem=21000M,node=1|06:02:44|161551|0:0
59145373_1.batch|59145373.batch|batch||lccbe||COMPLETED|2026-04-22T14:56:16|2026-04-22T14:56:16|2026-04-22T18:23:23|03:27:07|12427||1|r24g09|13||7684.16M|cpu=13,gres/gpu:tesla=1,gres/gpu=1,mem=273000M,node=1||06:02:44|161551|0:0
59145373_1.extern|59145373.extern|extern||lccbe||COMPLETED|2026-04-22T14:56:16|2026-04-22T14:56:16|2026-04-22T18:23:23|03:27:07|12427||1|r24g09|13|||billing=119,cpu=13,gres/gpu:tesla=1,gres/gpu=1,mem=273000M,node=1||00:00:00|161551|0:0
59146241_0|59148259|deconvolutionfittng|vsc37069|lccbe|gpu_v100|COMPLETED|2026-04-22T16:09:11|2026-04-22T22:56:04|2026-04-23T02:36:37|03:40:33|13233|08:00:00|1|r24g09|6|21000M||billing=87,cpu=6,gres/gpu:tesla=1,gres/gpu=1,mem=126000M,node=1|billing=4,cpu=1,gres/gpu=1,mem=21000M,node=1|05:16:53|79398|0:0
59146241_0.batch|59148259.batch|batch||lccbe||COMPLETED|2026-04-22T22:56:04|2026-04-22T22:56:04|2026-04-23T02:36:37|03:40:33|13233||1|r24g09|6||8652.63M|cpu=6,gres/gpu:tesla=1,gres/gpu=1,mem=126000M,node=1||05:16:53|79398|0:0
59146241_0.extern|59148259.extern|extern||lccbe||COMPLETED|2026-04-22T22:56:04|2026-04-22T22:56:04|2026-04-23T02:36:37|03:40:33|13233||1|r24g09|6|||billing=87,cpu=6,gres/gpu:tesla=1,gres/gpu=1,mem=126000M,node=1||00:00:00|79398|0:0
59146241_1|59148368|deconvolutionfittng|vsc37069|lccbe|gpu_v100|COMPLETED|2026-04-22T16:09:11|2026-04-23T00:01:51|2026-04-23T01:27:23|01:25:32|5132|08:00:00|1|r24g09|9|21000M||billing=101,cpu=9,gres/gpu:tesla=1,gres/gpu=1,mem=189000M,node=1|billing=4,cpu=1,gres/gpu=1,mem=21000M,node=1|04:27:34|46188|0:0
