JobID	JobName	Partition	NodeList	NNodes	NCPUS	ReqMem(MB)	MaxRSS(MB)	GPUs	Elapsed	Timelimit	CPUEff(%)	MemEff(%)
59145373_0	deconvolutionfittng	gpu_v100	r24g09	1	14	21000	7704.78	1	03:27:10	08:00:00	10.7	36.7
59145373_1	deconvolutionfittng	gpu_v100	r24g09	1	13	21000	7684.16	1	03:27:07	08:00:00	13.5	36.6
59146241_0	deconvolutionfittng	gpu_v100	r24g09	1	6	21000	8652.63	1	03:40:33	08:00:00	23.9	41.2
59146241_1	deconvolutionfittng	gpu_v100	r24g09	1	9	21000	15139.85	1	01:25:32	08:00:00	34.8	72.1
59146241_2	deconvolutionfittng	gpu_v100	r24g09	1	4	21000	13105.45	1	01:44:31	08:00:00	54.7	62.4
59152026_0	deconvolutionfittng	gpu_v100	r24g09	1	6	21000	8688.29	1	04:06:43	08:00:00	23.8	41.4
59152026_1	deconvolutionfittng	gpu_v100	r24g09	1	6	21000	10259.07	1	02:02:51	08:00:00	51.0	48.9
59154857_0	deconvolutionfittng	gpu_v100	r24g09	1	9	21000	12343.34	1	03:10:32	08:00:00	15.4	58.8
59159423_0	deconvolutionfittng	gpu_p100	r24g37	1	18	5000	12389.55	1	02:52:12	08:00:00	10.2	247.8
59159450_0	deconvolutionfittng	gpu_p100	r24g38	1	9	5000	11696.32	1	02:08:22	08:00:00	19.5	233.9
59159450_1	deconvolutionfittng	gpu_p100	r24g38	1	9	5000	10164.55	1	01:01:10	08:00:00	57.4	203.3
59160649_0	lookup_pseudobulk	gpu_p100	r22g35	1	7	32768	9712.30	1	03:04:51	10:00:00	19.8	29.6
59160649_1	lookup_pseudobulk	gpu_p100	r22g38	1	7	32768	9016.60	1	03:18:49	10:00:00	22.2	27.5
59160649_2	lookup_pseudobulk	gpu_p100	r22g38	1	7	32768	10788.70	1	03:00:10	10:00:00	20.3	32.9
59160649_3	lookup_pseudobulk	gpu_p100	r22g39	1	7	32768	10889.89	1	03:31:02	10:00:00	22.6	33.2
59160677_0	lookup_pseudobulk	gpu_p100	r22g41	1	7	32768	6857.61	1	03:20:17	10:00:00	22.5	20.9
59160677_5	lookup_pseudobulk	gpu_p100	r24g37	1	7	32768	10550.95	1	03:22:08	10:00:00	21.7	32.2
59160677_6	lookup_pseudobulk	gpu_p100	r24g37	1	7	32768	12345.64	1	03:26:20	10:00:00	21.6	37.7
59160677_9	lookup_pseudobulk	gpu_p100	r24g38	1	7	32768	8259.55	1	03:43:42	10:00:00	21.6	25.2
59160831_0	lookup_pseudobulk	gpu_p100	r22g41	1	7	32768	8621.24	1	03:26:49	10:00:00	22.9	26.3
59160831_1	lookup_pseudobulk	gpu_p100	r22g41	1	7	32768	9105.62	1	03:45:09	10:00:00	22.2	27.8
59160980_0	lookup_pseudobulk	gpu_p100	r22g41	1	7	32768	8880.26	1	03:12:36	10:00:00	19.9	27.1
59160980_1	lookup_pseudobulk	gpu_p100	r24g40	1	7	32768	9200.84	1	03:19:21	10:00:00	22.8	28.1
59160980_2	lookup_pseudobulk	gpu_p100	r24g40	1	7	32768	11119.73	1	03:36:54	10:00:00	20.1	33.9
59160980_3	lookup_pseudobulk	gpu_p100	r24g40	1	7	32768	8313.53	1	03:26:54	10:00:00	22.9	25.4
59161011_0	lookup_pseudobulk	gpu_p100	r23g36	1	7	32768	3092.73	1	00:16:47	01:00:00	20.3	9.4
59161011_1	lookup_pseudobulk	gpu_p100	r23g37	1	7	32768	5100.60	1	00:18:36	01:00:00	20.2	15.6
59161011_2	lookup_pseudobulk	gpu_p100	r23g37	1	7	32768	5205.55	1	00:15:25	01:00:00	20.2	15.9
59161011_3	lookup_pseudobulk	gpu_p100	r23g37	1	7	32768	4415.31	1	00:16:19	01:00:00	19.7	13.5
59161011_4	lookup_pseudobulk	gpu_p100	r23g37	1	7	32768	4368.33	1	00:16:45	01:00:00	20.2	13.3
59161011_5	lookup_pseudobulk	gpu_p100	r23g39	1	7	32768	2802.28	1	00:16:47	01:00:00	20.7	8.6
59161011_6	lookup_pseudobulk	gpu_p100	r23g39	1	7	32768	4144.41	1	00:15:56	01:00:00	19.8	12.6
59161011_7	lookup_pseudobulk	gpu_p100	r24g40	1	7	32768	4540.92	1	00:14:41	01:00:00	19.5	13.9
59161011_8	lookup_pseudobulk	gpu_p100	r22g41	1	7	32768	4939.18	1	00:14:37	01:00:00	19.5	15.1
59161011_9	lookup_pseudobulk	gpu_p100	r22g41	1	7	32768	4130.05	1	00:15:43	01:00:00	19.8	12.6
59162001_0	methylbert_inference	gpu_p100	r22g39	1	7	32768	5488.51	1	02:01:43	04:00:00	16.9	16.7
59162001_1	methylbert_inference	gpu_p100	r22g39	1	7	32768	3733.23	1	02:26:44	04:00:00	16.2	11.4
