JobID|JobIDRaw|JobName|User|Account|Partition|State|Submit|Start|End|Elapsed|ElapsedRaw|Timelimit|NNodes|NodeList|NCPUS|ReqMem|MaxRSS|AllocTRES|ReqTRES|TotalCPU|CPUTimeRAW|ExitCode
66499137_0|66499138|pseudobulk|vsc37069|lccbe|batch_sapphirerapids|COMPLETED|2026-04-20T13:46:35|2026-04-20T13:46:36|2026-04-20T14:11:13|00:24:37|1477|01:00:00|1|q16c05n2|20|50000M||billing=69,cpu=20,mem=50000M,node=1|billing=69,cpu=20,mem=50000M,node=1|24:17.075|29540|0:0
66499137_0.batch|66499138.batch|batch||lccbe||COMPLETED|2026-04-20T13:46:36|2026-04-20T13:46:36|2026-04-20T14:11:13|00:24:37|1477||1|q16c05n2|20||23408.57M|cpu=20,mem=50000M,node=1||24:17.075|29540|0:0
66499137_0.extern|66499138.extern|extern||lccbe||COMPLETED|2026-04-20T13:46:36|2026-04-20T13:46:36|2026-04-20T14:11:13|00:24:37|1477||1|q16c05n2|20|||billing=69,cpu=20,mem=50000M,node=1||00:00:00|29540|0:0
66499137_1|66499139|pseudobulk|vsc37069|lccbe|batch_sapphirerapids|COMPLETED|2026-04-20T13:46:35|2026-04-20T13:46:36|2026-04-20T14:12:38|00:26:02|1562|01:00:00|1|q16c07n1|20|50000M||billing=69,cpu=20,mem=50000M,node=1|billing=69,cpu=20,mem=50000M,node=1|25:40.932|31240|0:0
66499137_1.batch|66499139.batch|batch||lccbe||COMPLETED|2026-04-20T13:46:36|2026-04-20T13:46:36|2026-04-20T14:12:38|00:26:02|1562||1|q16c07n1|20||26400.85M|cpu=20,mem=50000M,node=1||25:40.932|31240|0:0
66499137_1.extern|66499139.extern|extern||lccbe||COMPLETED|2026-04-20T13:46:36|2026-04-20T13:46:36|2026-04-20T14:12:38|00:26:02|1562||1|q16c07n1|20|||billing=69,cpu=20,mem=50000M,node=1||00:00:00|31240|0:0
66499137_2|66499140|pseudobulk|vsc37069|lccbe|batch_sapphirerapids|COMPLETED|2026-04-20T13:46:35|2026-04-20T13:46:36|2026-04-20T14:16:41|00:30:05|1805|01:00:00|1|q16c07n1|20|50000M||billing=69,cpu=20,mem=50000M,node=1|billing=69,cpu=20,mem=50000M,node=1|29:40.822|36100|0:0
66499137_2.batch|66499140.batch|batch||lccbe||COMPLETED|2026-04-20T13:46:36|2026-04-20T13:46:36|2026-04-20T14:16:41|00:30:05|1805||1|q16c07n1|20||23067.91M|cpu=20,mem=50000M,node=1||29:40.822|36100|0:0
66499137_2.extern|66499140.extern|extern||lccbe||COMPLETED|2026-04-20T13:46:36|2026-04-20T13:46:36|2026-04-20T14:16:41|00:30:05|1805||1|q16c07n1|20|||billing=69,cpu=20,mem=50000M,node=1||00:00:00|36100|0:0
66499137_3|66499141|pseudobulk|vsc37069|lccbe|batch_sapphirerapids|COMPLETED|2026-04-20T13:46:35|2026-04-20T13:46:36|2026-04-20T14:14:16|00:27:40|1660|01:00:00|1|q16c07n4|20|50000M||billing=69,cpu=20,mem=50000M,node=1|billing=69,cpu=20,mem=50000M,node=1|27:10.537|33200|0:0
66499137_3.batch|66499141.batch|batch||lccbe||COMPLETED|2026-04-20T13:46:36|2026-04-20T13:46:36|2026-04-20T14:14:16|00:27:40|1660||1|q16c07n4|20||27049.11M|cpu=20,mem=50000M,node=1||27:10.537|33200|0:0
66499137_3.extern|66499141.extern|extern||lccbe||COMPLETED|2026-04-20T13:46:36|2026-04-20T13:46:36|2026-04-20T14:14:17|00:27:41|1661||1|q16c07n4|20|||billing=69,cpu=20,mem=50000M,node=1||00:00:00|33220|0:0
66499137_4|66499142|pseudobulk|vsc37069|lccbe|batch_sapphirerapids|COMPLETED|2026-04-20T13:46:35|2026-04-20T13:46:36|2026-04-20T14:12:37|00:26:01|1561|01:00:00|1|q16c15n2|20|50000M||billing=69,cpu=20,mem=50000M,node=1|billing=69,cpu=20,mem=50000M,node=1|25:34.904|31220|0:0
66499137_4.batch|66499142.batch|batch||lccbe||COMPLETED|2026-04-20T13:46:36|2026-04-20T13:46:36|2026-04-20T14:12:37|00:26:01|1561||1|q16c15n2|20||32676.40M|cpu=20,mem=50000M,node=1||25:34.904|31220|0:0
66499137_4.extern|66499142.extern|extern||lccbe||COMPLETED|2026-04-20T13:46:36|2026-04-20T13:46:36|2026-04-20T14:12:37|00:26:01|1561||1|q16c15n2|20|||billing=69,cpu=20,mem=50000M,node=1||00:00:00|31220|0:0
66499137_5|66499137|pseudobulk|vsc37069|lccbe|batch_sapphirerapids|COMPLETED|2026-04-20T13:46:35|2026-04-20T13:46:36|2026-04-20T14:17:02|00:30:26|1826|01:00:00|1|q16c15n2|20|50000M||billing=69,cpu=20,mem=50000M,node=1|billing=69,cpu=20,mem=50000M,node=1|30:01.112|36520|0:0
66499137_5.batch|66499137.batch|batch||lccbe||COMPLETED|2026-04-20T13:46:36|2026-04-20T13:46:36|2026-04-20T14:17:02|00:30:26|1826||1|q16c15n2|20||30478.77M|cpu=20,mem=50000M,node=1||30:01.112|36520|0:0
66499137_5.extern|66499137.extern|extern||lccbe||COMPLETED|2026-04-20T13:46:36|2026-04-20T13:46:36|2026-04-20T14:17:02|00:30:26|1826||1|q16c15n2|20|||billing=69,cpu=20,mem=50000M,node=1||00:00:00|36520|0:0
66503611_3|66510346|deconvolutionfittng|vsc37069|lccbe|gpu_a100|COMPLETED|2026-04-20T17:40:20|2026-04-20T21:49:23|2026-04-21T01:47:53|03:58:30|14310|08:00:00|1|k28g27|28|7000M||billing=212,cpu=28,gres/gpu:a100-sxm4-80gb=1,gres/gpu=1,mem=196000M,node=1|billing=2,cpu=1,gres/gpu=1,mem=7000M,node=1|07:40:39|400680|0:0
66503611_3.batch|66510346.batch|batch||lccbe||COMPLETED|2026-04-20T21:49:23|2026-04-20T21:49:23|2026-04-21T01:47:53|03:58:30|14310||1|k28g27|28||9503.74M|cpu=28,gres/gpu:a100-sxm4-80gb=1,gres/gpu=1,mem=196000M,node=1||07:40:39|400680|0:0
66503611_3.extern|66510346.extern|extern||lccbe||COMPLETED|2026-04-20T21:49:23|2026-04-20T21:49:23|2026-04-21T01:47:53|03:58:30|14310||1|k28g27|28|||billing=212,cpu=28,gres/gpu:a100-sxm4-80gb=1,gres/gpu=1,mem=196000M,node=1||00:00:00|400680|0:0
66503611_4|66510350|deconvolutionfittng|vsc37069|lccbe|gpu_a100|COMPLETED|2026-04-20T17:40:20|2026-04-20T21:50:26|2026-04-21T00:56:42|03:06:16|11176|08:00:00|1|k28g27|18|7000M||billing=187,cpu=18,gres/gpu:a100-sxm4-80gb=1,gres/gpu=1,mem=126000M,node=1|billing=2,cpu=1,gres/gpu=1,mem=7000M,node=1|05:52:43|201168|0:0
66503611_4.batch|66510350.batch|batch||lccbe||COMPLETED|2026-04-20T21:50:26|2026-04-20T21:50:26|2026-04-21T00:56:42|03:06:16|11176||1|k28g27|18||12034.71M|cpu=18,gres/gpu:a100-sxm4-80gb=1,gres/gpu=1,mem=126000M,node=1||05:52:43|201168|0:0
66503611_4.extern|66510350.extern|extern||lccbe||COMPLETED|2026-04-20T21:50:26|2026-04-20T21:50:26|2026-04-21T00:56:42|03:06:16|11176||1|k28g27|18|||billing=187,cpu=18,gres/gpu:a100-sxm4-80gb=1,gres/gpu=1,mem=126000M,node=1||00:00:00|201168|0:0
66503611_5|66503611|deconvolutionfittng|vsc37069|lccbe|gpu_a100|COMPLETED|2026-04-20T17:40:20|2026-04-20T21:55:40|2026-04-21T01:53:46|03:58:06|14286|08:00:00|1|k28g25|18|7000M||billing=187,cpu=18,gres/gpu:a100-sxm4-80gb=1,gres/gpu=1,mem=126000M,node=1|billing=2,cpu=1,gres/gpu=1,mem=7000M,node=1|07:20:59|257148|0:0
66503611_5.batch|66503611.batch|batch||lccbe||COMPLETED|2026-04-20T21:55:40|2026-04-20T21:55:40|2026-04-21T01:53:46|03:58:06|14286||1|k28g25|18||10382.24M|cpu=18,gres/gpu:a100-sxm4-80gb=1,gres/gpu=1,mem=126000M,node=1||07:20:59|257148|0:0
66503611_5.extern|66503611.extern|extern||lccbe||COMPLETED|2026-04-20T21:55:40|2026-04-20T21:55:40|2026-04-21T01:53:46|03:58:06|14286||1|k28g25|18|||billing=187,cpu=18,gres/gpu:a100-sxm4-80gb=1,gres/gpu=1,mem=126000M,node=1||00:00:00|257148|0:0
66514887|66514887|dismir_pseudobulk|vsc37069|lccbe|batch|COMPLETED|2026-04-21T09:36:08|2026-04-21T09:36:12|2026-04-21T10:06:18|00:30:06|1806|15:00:00|1|n28c25n1|20|68000M||billing=50,cpu=20,mem=68000M,node=1|billing=50,cpu=20,mem=68000M,node=1|29:11.035|36120|0:0
66514887.batch|66514887.batch|batch||lccbe||COMPLETED|2026-04-21T09:36:12|2026-04-21T09:36:12|2026-04-21T10:06:18|00:30:06|1806||1|n28c25n1|20||32125.70M|cpu=20,mem=68000M,node=1||29:11.035|36120|0:0
66514887.extern|66514887.extern|extern||lccbe||COMPLETED|2026-04-21T09:36:12|2026-04-21T09:36:12|2026-04-21T10:06:18|00:30:06|1806||1|n28c25n1|20|||billing=50,cpu=20,mem=68000M,node=1||00:00:00|36120|0:0
66515420_0|66517136|deconvolutionfittng|vsc37069|lccbe|gpu_a100|COMPLETED|2026-04-21T10:11:37|2026-04-21T11:25:36|2026-04-21T15:05:06|03:39:30|13170|08:00:00|1|k28g25|27|7000M||billing=210,cpu=27,gres/gpu:a100-sxm4-80gb=1,gres/gpu=1,mem=189000M,node=1|billing=2,cpu=1,gres/gpu=1,mem=7000M,node=1|07:51:31|355590|0:0
66515420_0.batch|66517136.batch|batch||lccbe||COMPLETED|2026-04-21T11:25:36|2026-04-21T11:25:36|2026-04-21T15:05:06|03:39:30|13170||1|k28g25|27||10060.62M|cpu=27,gres/gpu:a100-sxm4-80gb=1,gres/gpu=1,mem=189000M,node=1||07:51:31|355590|0:0
