JobID	JobName	Partition	NodeList	NNodes	NCPUS	ReqMem(MB)	MaxRSS(MB)	GPUs	Elapsed	Timelimit	CPUEff(%)	MemEff(%)
66499137_0	pseudobulk	batch_sapphirerapids	q16c05n2	1	20	50000	23408.57	0	00:24:37	01:00:00	4.9	46.8
66499137_1	pseudobulk	batch_sapphirerapids	q16c07n1	1	20	50000	26400.85	0	00:26:02	01:00:00	4.9	52.8
66499137_2	pseudobulk	batch_sapphirerapids	q16c07n1	1	20	50000	23067.91	0	00:30:05	01:00:00	4.9	46.1
66499137_3	pseudobulk	batch_sapphirerapids	q16c07n4	1	20	50000	27049.11	0	00:27:40	01:00:00	4.9	54.1
66499137_4	pseudobulk	batch_sapphirerapids	q16c15n2	1	20	50000	32676.40	0	00:26:01	01:00:00	4.9	65.4
66499137_5	pseudobulk	batch_sapphirerapids	q16c15n2	1	20	50000	30478.77	0	00:30:26	01:00:00	4.9	61.0
66503611_3	deconvolutionfittng	gpu_a100	k28g27	1	28	7000	9503.74	1	03:58:30	08:00:00	6.9	135.8
66503611_4	deconvolutionfittng	gpu_a100	k28g27	1	18	7000	12034.71	1	03:06:16	08:00:00	10.5	171.9
66503611_5	deconvolutionfittng	gpu_a100	k28g25	1	18	7000	10382.24	1	03:58:06	08:00:00	10.3	148.3
66514887	dismir_pseudobulk	batch	n28c25n1	1	20	68000	32125.70	0	00:30:06	15:00:00	4.8	47.2
66515420_0	deconvolutionfittng	gpu_a100	k28g25	1	27	7000	10060.62	1	03:39:30	08:00:00	8.0	143.7
66515420_1	deconvolutionfittng	gpu_a100	k28g25	1	32	7000	10652.32	1	03:54:58	08:00:00	7.1	152.2
66515709	dismir_pseudobulk	batch	m28c20n4	1	20	68000	29631.38	0	02:59:31	15:00:00	93.2	43.6
66530307_2	pseudobulk	batch_sapphirerapids	q16c03n1	1	20	50000	49987.08	0	11:33:07	14:00:00	85.9	100.0
66536044	dismir_pseudobulk	batch	l33c25n3	1	20	68000	36775.43	0	03:14:06	15:00:00	94.0	54.1
66536193_0	pseudobulk	batch_sapphirerapids	q16c03n2	1	20	50000	37066.06	0	00:25:45	14:00:00	4.9	74.1
66537368	lookup_pseudobulk	batch	l33c22n4	1	20	68000	36725.99	0	03:17:45	15:00:00	94.1	54.0
66539789	lookup_pseudobulk	batch	m33c32n3	1	20	68000	41133.76	0	00:24:09	15:00:00	4.8	60.5
66539843	lookup_pseudobulk	batch	m28c25n1	1	20	68000	35840.42	0	00:27:48	15:00:00	4.9	52.7
66542045_0	pseudobulk	batch_sapphirerapids	q16c09n2	1	20	50000	32293.23	0	04:38:46	14:00:00	79.2	64.6
66542045_1	pseudobulk	batch_sapphirerapids	q16c28n3	1	20	50000	32322.97	0	04:01:18	14:00:00	94.6	64.6
66542045_2	pseudobulk	batch_sapphirerapids	q16c30n1	1	20	50000	27060.44	0	03:36:57	14:00:00	94.2	54.1
66576411_2	lookup_pseudobulk	batch	m33c27n1	1	20	68000	28437.61	0	03:46:53	15:00:00	94.6	41.8
66576411_3	lookup_pseudobulk	batch	m33c27n4	1	20	68000	35942.47	0	03:50:05	15:00:00	94.7	52.9
66576411_4	lookup_pseudobulk	batch	r33c20n3	1	20	68000	36649.32	0	03:59:49	15:00:00	91.7	53.9
66576411_5	lookup_pseudobulk	batch	r33c25n3	1	20	68000	37646.82	0	02:45:03	15:00:00	93.6	55.4
66577420_0	lookup_pseudobulk	batch	m33c30n4	1	20	68000	26262.75	0	03:17:49	15:00:00	92.1	38.6
66577420_1	lookup_pseudobulk	batch	p33c32n1	1	20	68000	33940.69	0	02:42:17	15:00:00	91.6	49.9
66577420_2	lookup_pseudobulk	batch	p33c32n2	1	20	68000	38063.84	0	02:43:48	15:00:00	92.7	56.0
66581004_0	lookup_pseudobulk	batch_sapphirerapids	q16c03n4	1	20	50000	26844.43	0	03:36:03	15:00:00	94.9	53.7
66581004_1	lookup_pseudobulk	batch_sapphirerapids	q16c05n1	1	20	50000	36725.88	0	03:30:55	15:00:00	91.9	73.5
66582129_0	lookup_pseudobulk	batch_sapphirerapids	q16c03n3	1	20	50000	21451.87	0	01:37:35	15:00:00	92.2	42.9
66582129_1	lookup_pseudobulk	batch_sapphirerapids	q16c05n4	1	20	50000	24465.33	0	01:41:32	15:00:00	93.4	48.9
66583150_0	lookup_pseudobulk	batch_sapphirerapids	q16c03n3	1	20	50000	19431.90	0	00:18:36	15:00:00	4.9	38.9
66583150_1	lookup_pseudobulk	batch_sapphirerapids	q16c03n4	1	20	50000	21914.58	0	00:16:00	15:00:00	4.9	43.8
