Classifier	Deconvolver	Calibrator	Feature Scheme	Labeling Scheme	Prior	R2	MAE	MSE	KL
UXM	UXM	None	NA	NA	NA	96.39	5.59	3.00	14.54
UXM	UXM	Lin. clip+norm	NA	NA	NA	96.88	5.05	2.59	13.28
UXM	UXM	Lin. simplex	NA	NA	NA	97.46	4.23	2.11	12.39
UXM	UXM	Vec. scaling	NA	NA	NA	96.43	5.31	2.97	10.98
CancerDetector	XGB	None	NA	NA	Training Counts	96.84	4.07	2.62	7.78
CancerDetector	XGB	Lin. clip+norm	NA	NA	Training Counts	97.22	3.80	2.31	8.09
CancerDetector	XGB	Lin. simplex	NA	NA	Training Counts	97.67	3.44	1.93	9.18
CancerDetector	XGB	Vec. scaling	NA	NA	Training Counts	97.17	4.28	2.35	6.18
CancerDetector	MLP	None	NA	NA	Training Counts	94.13	4.65	4.87	11.01
CancerDetector	MLP	Lin. clip+norm	NA	NA	Training Counts	94.74	4.60	4.37	12.73
CancerDetector	MLP	Lin. simplex	NA	NA	Training Counts	94.97	4.53	4.17	15.57
CancerDetector	MLP	Vec. scaling	NA	NA	Training Counts	95.00	4.56	4.15	9.89
CancerDetector	SWN	None	NA	NA	Training Counts	97.48	3.68	2.09	7.12
CancerDetector	SWN	Lin. clip+norm	NA	NA	Training Counts	97.94	3.45	1.71	8.39
CancerDetector	SWN	Lin. simplex	NA	NA	Training Counts	98.06	3.37	1.61	10.74
CancerDetector	SWN	Vec. scaling	NA	NA	Training Counts	98.00	3.65	1.66	6.32
CancerDetector	NNLS	None	NA	NA	Training Counts	97.08	4.48	2.42	10.70
CancerDetector	NNLS	Lin. clip+norm	NA	NA	Training Counts	97.43	3.97	2.13	9.47
CancerDetector	NNLS	Lin. simplex	NA	NA	Training Counts	97.96	3.37	1.70	8.75
CancerDetector	NNLS	Vec. scaling	NA	NA	Training Counts	97.34	4.40	2.21	7.92
CancerDetector	PSLS	None	NA	NA	Training Counts	97.94	3.57	1.71	8.56
CancerDetector	PSLS	Lin. clip+norm	NA	NA	Training Counts	97.91	3.60	1.73	8.67
CancerDetector	PSLS	Lin. simplex	NA	NA	Training Counts	98.17	3.31	1.52	9.10
CancerDetector	PSLS	Vec. scaling	NA	NA	Training Counts	97.45	4.14	2.12	7.68
CancerDetector	XGB	None	NA	NA	Uniform	97.03	4.01	2.46	7.65
CancerDetector	XGB	Lin. clip+norm	NA	NA	Uniform	97.39	3.71	2.17	7.83
CancerDetector	XGB	Lin. simplex	NA	NA	Uniform	97.84	3.33	1.79	8.86
CancerDetector	XGB	Vec. scaling	NA	NA	Uniform	97.33	4.19	2.22	6.01
CancerDetector	MLP	None	NA	NA	Uniform	91.79	4.92	6.81	13.90
CancerDetector	MLP	Lin. clip+norm	NA	NA	Uniform	92.40	5.05	6.31	14.90
CancerDetector	MLP	Lin. simplex	NA	NA	Uniform	92.64	4.98	6.11	16.46
CancerDetector	MLP	Vec. scaling	NA	NA	Uniform	92.75	5.06	6.01	12.13
CancerDetector	SWN	None	NA	NA	Uniform	97.59	3.66	2.00	7.06
CancerDetector	SWN	Lin. clip+norm	NA	NA	Uniform	98.02	3.40	1.65	8.40
CancerDetector	SWN	Lin. simplex	NA	NA	Uniform	98.13	3.27	1.55	10.36
CancerDetector	SWN	Vec. scaling	NA	NA	Uniform	98.13	3.54	1.55	6.13
CancerDetector	NNLS	None	NA	NA	Uniform	97.19	4.33	2.33	10.30
CancerDetector	NNLS	Lin. clip+norm	NA	NA	Uniform	97.55	3.88	2.04	9.24
CancerDetector	NNLS	Lin. simplex	NA	NA	Uniform	98.05	3.31	1.62	8.54
CancerDetector	NNLS	Vec. scaling	NA	NA	Uniform	97.49	4.33	2.08	7.70
CancerDetector	PSLS	None	NA	NA	Uniform	98.08	3.45	1.60	8.24
CancerDetector	PSLS	Lin. clip+norm	NA	NA	Uniform	98.08	3.47	1.59	8.50
CancerDetector	PSLS	Lin. simplex	NA	NA	Uniform	98.36	3.17	1.36	8.75
CancerDetector	PSLS	Vec. scaling	NA	NA	Uniform	97.69	4.03	1.92	7.54
Dismir	XGB	None	Top 10%	Hard Labels	NA	96.42	4.31	2.97	8.44
Dismir	XGB	Lin. clip+norm	Top 10%	Hard Labels	NA	96.87	3.96	2.59	8.31
Dismir	XGB	Lin. simplex	Top 10%	Hard Labels	NA	97.39	3.53	2.16	8.85
Dismir	XGB	Vec. scaling	Top 10%	Hard Labels	NA	96.95	4.36	2.53	6.61
