	Classifier	Labeling Scheme	Prior	Feature Scheme	Deconvolver	Calibrator	method	method_key	pseudobulk_r2	tcs	tcs_per_sample	rank_pseudobulk	rank_tcs	avg_rank	rank_r2	rank_cosine_sim	rank_mse	rank_mae	rank_kl	rank_max_error	rank_loa_width	rank_worst_class_loa_width
0	methylbert	soft_labels_with_pooling		top156	psls	linear_simplex_projection	methylbert / soft_labels_with_pooling / top156 / psls / linear_simplex_projection	methylbert|soft_labels_with_pooling||top156|psls|linear_simplex_projection	0.9889460568421344	0.7123821700160654	0.7022123076923077	6.0	27.0	16.5	6.0	10.0	6.0	8.0	53.0	41.0	6.0	3.0
1	methylbert	soft_labels_with_pooling		top156	swn	linear_simplex_projection	methylbert / soft_labels_with_pooling / top156 / swn / linear_simplex_projection	methylbert|soft_labels_with_pooling||top156|swn|linear_simplex_projection	0.9849812605861028	0.7249655177910103	0.7185180769230769	35.0	10.0	22.5	35.0	79.0	35.0	71.0	172.0	36.0	35.0	30.0
2	methylbert	soft_labels_with_pooling		top156	swn	linear_clip_normalize	methylbert / soft_labels_with_pooling / top156 / swn / linear_clip_normalize	methylbert|soft_labels_with_pooling||top156|swn|linear_clip_normalize	0.9859499421023464	0.7129535363514738	0.7061134622614188	26.0	23.0	24.5	26.0	67.0	26.0	43.0	14.0	24.0	26.0	21.0
3	methylbert	soft_labels_with_pooling		top156	swn	vector_scaling	methylbert / soft_labels_with_pooling / top156 / swn / vector_scaling	methylbert|soft_labels_with_pooling||top156|swn|vector_scaling	0.9837954924267952	0.7247388694619842	0.7178153846153846	51.0	11.0	31.0	51.0	127.0	51.0	86.0	1.0	29.0	51.0	10.0
4	methylbert	soft_labels_with_pooling		top156	nnls	linear_simplex_projection	methylbert / soft_labels_with_pooling / top156 / nnls / linear_simplex_projection	methylbert|soft_labels_with_pooling||top156|nnls|linear_simplex_projection	0.9893797481101504	0.6960109317498391	0.6872346153846154	1.0	64.0	32.5	1.0	5.0	1.0	2.0	37.0	13.0	1.0	1.0
5	dismir	hard_labels		top156	nnls	linear_simplex_projection	dismir / hard_labels / top156 / nnls / linear_simplex_projection	dismir|hard_labels||top156|nnls|linear_simplex_projection	0.9868485685376084	0.6986625865471543	0.687325	17.0	59.0	38.0	17.0	23.0	17.0	13.0	85.0	85.0	17.0	26.0
6	dismir	soft_labels_without_pooling		top156	swn	linear_clip_normalize	dismir / soft_labels_without_pooling / top156 / swn / linear_clip_normalize	dismir|soft_labels_without_pooling||top156|swn|linear_clip_normalize	0.9841781135562466	0.7106805385291166	0.7018250005210014	45.0	32.0	38.5	45.0	71.0	45.0	59.0	27.0	148.0	45.0	102.0
7	methylbert	soft_labels_with_pooling		top156	swn	uncalibrated	methylbert / soft_labels_with_pooling / top156 / swn / uncalibrated	methylbert|soft_labels_with_pooling||top156|swn|uncalibrated	0.984948289629694	0.7070784457064805	0.699760000900166	36.0	42.0	39.0	36.0	83.0	36.0	36.0	2.0	102.0	36.0	35.0
8	methylbert	soft_labels_with_pooling		top156	mlp	linear_simplex_projection	methylbert / soft_labels_with_pooling / top156 / mlp / linear_simplex_projection	methylbert|soft_labels_with_pooling||top156|mlp|linear_simplex_projection	0.9852368929266168	0.6990076999905004	0.6932373076923077	32.0	58.0	45.0	32.0	50.0	32.0	48.0	227.0	39.0	32.0	41.0
9	dismir	soft_labels_without_pooling		top156	swn	linear_simplex_projection	dismir / soft_labels_without_pooling / top156 / swn / linear_simplex_projection	dismir|soft_labels_without_pooling||top156|swn|linear_simplex_projection	0.9836535123455566	0.710351101787718	0.7014661538461537	57.0	34.0	45.5	57.0	77.0	57.0	74.0	164.0	154.0	57.0	116.0
10	dismir	soft_labels_without_pooling		top156	nnls	linear_simplex_projection	dismir / soft_labels_without_pooling / top156 / nnls / linear_simplex_projection	dismir|soft_labels_without_pooling||top156|nnls|linear_simplex_projection	0.9889154605791995	0.6878419654377618	0.6788646153846153	7.0	87.0	47.0	7.0	3.0	7.0	5.0	40.0	8.0	7.0	11.0
11	dismir	soft_labels_without_pooling		top156	psls	linear_simplex_projection	dismir / soft_labels_without_pooling / top156 / psls / linear_simplex_projection	dismir|soft_labels_without_pooling||top156|psls|linear_simplex_projection	0.9887841368623989	0.6849057868330028	0.6756738461538461	8.0	93.0	50.5	8.0	4.0	8.0	7.0	49.0	11.0	8.0	12.0
12	dismir	soft_labels_without_pooling		top156	swn	vector_scaling	dismir / soft_labels_without_pooling / top156 / swn / vector_scaling	dismir|soft_labels_without_pooling||top156|swn|vector_scaling	0.982872426127438	0.7126930106627609	0.7038234615384615	76.0	25.0	50.5	76.0	122.0	76.0	99.0	4.0	116.0	76.0	64.0
13	dismir	soft_labels_without_pooling		top156	swn	uncalibrated	dismir / soft_labels_without_pooling / top156 / swn / uncalibrated	dismir|soft_labels_without_pooling||top156|swn|uncalibrated	0.982377574272848	0.7132983962140551	0.7044523070765883	84.0	22.0	53.0	84.0	96.0	84.0	60.0	9.0	222.0	84.0	126.0
14	cancerdetector		train_freq_prior	top156	mlp	linear_simplex_projection	cancerdetector / train_freq_prior / top156 / mlp / linear_simplex_projection	cancerdetector||train_freq_prior|top156|mlp|linear_simplex_projection	0.9828124201171644	0.7121625413638448	0.7069042307692307	79.0	29.0	54.0	79.0	129.0	79.0	92.0	240.0	127.0	79.0	68.0
15	cancerdetector		train_freq_prior	top156	swn	vector_scaling	cancerdetector / train_freq_prior / top156 / swn / vector_scaling	cancerdetector||train_freq_prior|top156|swn|vector_scaling	0.9832055782196714	0.705622812597497	0.6984576923076924	64.0	45.0	54.5	64.0	91.0	64.0	77.0	5.0	23.0	64.0	103.0
17	cancerdetector		train_freq_prior	top156	swn	linear_simplex_projection	cancerdetector / train_freq_prior / top156 / swn / linear_simplex_projection	cancerdetector||train_freq_prior|top156|swn|linear_simplex_projection	0.983689885239182	0.701142929506541	0.6953703846153845	56.0	54.0	55.0	56.0	41.0	56.0	28.0	185.0	110.0	56.0	165.0
16	cancerdetector		train_freq_prior	top156	mlp	vector_scaling	cancerdetector / train_freq_prior / top156 / mlp / vector_scaling	cancerdetector||train_freq_prior|top156|mlp|vector_scaling	0.9828818738250352	0.7102737142639475	0.7034988461538461	75.0	35.0	55.0	75.0	157.0	75.0	110.0	32.0	121.0	75.0	45.0
19	methylbert	soft_labels_with_pooling		top156	mlp	vector_scaling	methylbert / soft_labels_with_pooling / top156 / mlp / vector_scaling	methylbert|soft_labels_with_pooling||top156|mlp|vector_scaling	0.9846232754470337	0.6935521795428772	0.6863373076923077	40.0	74.0	57.0	40.0	98.0	40.0	69.0	6.0	19.0	40.0	20.0
18	methylbert	soft_labels_with_pooling		top156	psls	linear_clip_normalize	methylbert / soft_labels_with_pooling / top156 / psls / linear_clip_normalize	methylbert|soft_labels_with_pooling||top156|psls|linear_clip_normalize	0.986105276492809	0.687050291341878	0.678221923076923	25.0	89.0	57.0	25.0	17.0	25.0	18.0	46.0	96.0	25.0	36.0
20	cancerdetector		train_freq_prior	top156	nnls	linear_simplex_projection	cancerdetector / train_freq_prior / top156 / nnls / linear_simplex_projection	cancerdetector||train_freq_prior|top156|nnls|linear_simplex_projection	0.987350519490976	0.680367774601671	0.6729999999999999	10.0	106.0	58.0	10.0	16.0	10.0	9.0	68.0	56.0	10.0	44.0
21	dismir	soft_labels_without_pooling		top156	nnls	linear_clip_normalize	dismir / soft_labels_without_pooling / top156 / nnls / linear_clip_normalize	dismir|soft_labels_without_pooling||top156|nnls|linear_clip_normalize	0.9858092080687354	0.6844412666035502	0.6754011538461538	27.0	95.0	61.0	27.0	13.0	27.0	25.0	63.0	82.0	27.0	54.0
22	dismir	hard_labels		top156	nnls	linear_clip_normalize	dismir / hard_labels / top156 / nnls / linear_clip_normalize	dismir|hard_labels||top156|nnls|linear_clip_normalize	0.9835807218534274	0.6967781482933035	0.6853465384615385	60.0	62.0	61.0	60.0	32.0	60.0	79.0	129.0	55.0	60.0	61.0
23	methylbert	soft_labels_with_pooling		top156	nnls	vector_scaling	methylbert / soft_labels_with_pooling / top156 / nnls / vector_scaling	methylbert|soft_labels_with_pooling||top156|nnls|vector_scaling	0.9818302664893322	0.711851707357511	0.7005984615384615	93.0	31.0	62.0	93.0	166.0	93.0	160.0	48.0	14.0	93.0	23.0
24	methylbert	soft_labels_without_pooling		top156	psls	linear_simplex_projection	methylbert / soft_labels_without_pooling / top156 / psls / linear_simplex_projection	methylbert|soft_labels_without_pooling||top156|psls|linear_simplex_projection	0.986159372696786	0.6808805615882352	0.66916	24.0	105.0	64.5	24.0	25.0	24.0	23.0	167.0	27.0	24.0	40.0
26	methylbert	soft_labels_with_pooling		top156	psls	vector_scaling	methylbert / soft_labels_with_pooling / top156 / psls / vector_scaling	methylbert|soft_labels_with_pooling||top156|psls|vector_scaling	0.9807113683565536	0.7162803067930814	0.705601923076923	112.0	19.0	65.5	112.0	148.0	112.0	163.0	51.0	163.0	112.0	120.0
25	dismir	soft_labels_without_pooling		top156	mlp	vector_scaling	dismir / soft_labels_without_pooling / top156 / mlp / vector_scaling	dismir|soft_labels_without_pooling||top156|mlp|vector_scaling	0.9831470412789792	0.6960772846712647	0.6914230769230768	68.0	63.0	65.5	68.0	128.0	68.0	81.0	23.0	190.0	68.0	95.0
27	dismir	soft_labels_without_pooling		top156	psls	linear_clip_normalize	dismir / soft_labels_without_pooling / top156 / psls / linear_clip_normalize	dismir|soft_labels_without_pooling||top156|psls|linear_clip_normalize	0.9856631476970092	0.6815175252333353	0.6722342307692308	29.0	102.0	65.5	29.0	12.0	29.0	22.0	82.0	111.0	29.0	57.0
28	methylbert	soft_labels_with_pooling		top156	mlp	linear_clip_normalize	methylbert / soft_labels_with_pooling / top156 / mlp / linear_clip_normalize	methylbert|soft_labels_with_pooling||top156|mlp|linear_clip_normalize	0.9843897694680924	0.686273511572954	0.6798769236740413	42.0	91.0	66.5	42.0	60.0	42.0	56.0	119.0	62.0	42.0	34.0
29	dismir	soft_labels_without_pooling		top156	nnls	vector_scaling	dismir / soft_labels_without_pooling / top156 / nnls / vector_scaling	dismir|soft_labels_without_pooling||top156|nnls|vector_scaling	0.9832634395494776	0.6926011955593835	0.6838034615384615	62.0	77.0	69.5	62.0	132.0	62.0	154.0	24.0	9.0	62.0	15.0
30	cancerdetector		train_freq_prior	top156	psls	linear_simplex_projection	cancerdetector / train_freq_prior / top156 / psls / linear_simplex_projection	cancerdetector||train_freq_prior|top156|psls|linear_simplex_projection	0.9890178950463075	0.6703633513070539	0.6625573076923077	5.0	135.0	70.0	5.0	8.0	5.0	6.0	71.0	5.0	5.0	4.0
31	dismir	soft_labels_with_pooling		top156	swn	linear_clip_normalize	dismir / soft_labels_with_pooling / top156 / swn / linear_clip_normalize	dismir|soft_labels_with_pooling||top156|swn|linear_clip_normalize	0.9852290863402268	0.6793922260344323	0.6652573084826142	33.0	108.0	70.5	33.0	51.0	33.0	33.0	29.0	47.0	33.0	78.0
33	cancerdetector		uniform_prior	top156	xgb	linear_simplex_projection	cancerdetector / uniform_prior / top156 / xgb / linear_simplex_projection	cancerdetector||uniform_prior|top156|xgb|linear_simplex_projection	0.9798343417460448	0.7266449019994848	0.7173861538461538	134.0	8.0	71.0	134.0	49.0	134.0	31.0	145.0	225.0	134.0	156.0
32	dismir	hard_labels		top156	swn	linear_clip_normalize	dismir / hard_labels / top156 / swn / linear_clip_normalize	dismir|hard_labels||top156|swn|linear_clip_normalize	0.9811902220699448	0.7097373891726142	0.697409615703537	106.0	36.0	71.0	106.0	154.0	106.0	111.0	54.0	136.0	106.0	157.0
35	dismir	soft_labels_with_pooling		top156	swn	linear_simplex_projection	dismir / soft_labels_with_pooling / top156 / swn / linear_simplex_projection	dismir|soft_labels_with_pooling||top156|swn|linear_simplex_projection	0.9850257506909972	0.6790194425399453	0.6649326923076923	34.0	109.0	71.5	34.0	54.0	34.0	53.0	162.0	46.0	34.0	73.0
34	methylbert	soft_labels_with_pooling		top156	nnls	linear_clip_normalize	methylbert / soft_labels_with_pooling / top156 / nnls / linear_clip_normalize	methylbert|soft_labels_with_pooling||top156|nnls|linear_clip_normalize	0.9869778774295486	0.6732129714840747	0.6652723076923077	15.0	128.0	71.5	15.0	11.0	15.0	11.0	65.0	37.0	15.0	14.0
36	cancerdetector		uniform_prior	top156	swn	vector_scaling	cancerdetector / uniform_prior / top156 / swn / vector_scaling	cancerdetector||uniform_prior|top156|swn|vector_scaling	0.9833298389001331	0.6893681069051981	0.6810211538461538	61.0	83.0	72.0	61.0	92.0	61.0	73.0	8.0	99.0	61.0	130.0
37	cancerdetector		train_freq_prior	top156	xgb	linear_simplex_projection	cancerdetector / train_freq_prior / top156 / xgb / linear_simplex_projection	cancerdetector||train_freq_prior|top156|xgb|linear_simplex_projection	0.979632501947134	0.7434190065379813	0.7349215384615384	141.0	6.0	73.5	141.0	66.0	141.0	37.0	152.0	224.0	141.0	199.0
38	cancerdetector		train_freq_prior	top156	mlp	linear_clip_normalize	cancerdetector / train_freq_prior / top156 / mlp / linear_clip_normalize	cancerdetector||train_freq_prior|top156|mlp|linear_clip_normalize	0.981660000507572	0.701797398542555	0.6960126918514735	95.0	53.0	74.0	95.0	140.0	95.0	132.0	165.0	126.0	95.0	70.0
39	dismir	soft_labels_with_pooling		top156	swn	vector_scaling	dismir / soft_labels_with_pooling / top156 / swn / vector_scaling	dismir|soft_labels_with_pooling||top156|swn|vector_scaling	0.9837692930958752	0.6825836810657926	0.6684284615384615	52.0	100.0	76.0	52.0	112.0	52.0	78.0	3.0	104.0	52.0	65.0
40	cancerdetector		train_freq_prior	top156	nnls	vector_scaling	cancerdetector / train_freq_prior / top156 / nnls / vector_scaling	cancerdetector||train_freq_prior|top156|nnls|vector_scaling	0.9810469193165378	0.7045942606679875	0.6953461538461538	107.0	46.0	76.5	107.0	177.0	107.0	211.0	41.0	18.0	107.0	16.0
41	cancerdetector		train_freq_prior	top156	swn	linear_clip_normalize	cancerdetector / train_freq_prior / top156 / swn / linear_clip_normalize	cancerdetector||train_freq_prior|top156|swn|linear_clip_normalize	0.9829437743455788	0.6891716163047088	0.6829373086860028	72.0	84.0	78.0	72.0	45.0	72.0	42.0	81.0	57.0	72.0	154.0
42	cancerdetector		uniform_prior	top156	nnls	vector_scaling	cancerdetector / uniform_prior / top156 / nnls / vector_scaling	cancerdetector||uniform_prior|top156|nnls|vector_scaling	0.9814413717183622	0.6977102491006516	0.6863703846153846	97.0	60.0	78.5	97.0	169.0	97.0	212.0	38.0	6.0	97.0	33.0
43	cancerdetector		uniform_prior	top156	nnls	linear_simplex_projection	cancerdetector / uniform_prior / top156 / nnls / linear_simplex_projection	cancerdetector||uniform_prior|top156|nnls|linear_simplex_projection	0.9863738891374152	0.6703546347969845	0.6615534615384616	22.0	136.0	79.0	22.0	18.0	22.0	10.0	69.0	34.0	22.0	90.0
44	methylbert	soft_labels_without_pooling		top156	nnls	linear_simplex_projection	methylbert / soft_labels_without_pooling / top156 / nnls / linear_simplex_projection	methylbert|soft_labels_without_pooling||top156|nnls|linear_simplex_projection	0.9847556186856392	0.6753600813966922	0.6649076923076922	38.0	122.0	80.0	38.0	36.0	38.0	34.0	170.0	38.0	38.0	81.0
45	cancerdetector		uniform_prior	top156	swn	linear_simplex_projection	cancerdetector / uniform_prior / top156 / swn / linear_simplex_projection	cancerdetector||uniform_prior|top156|swn|linear_simplex_projection	0.9835916154749578	0.6812156243816571	0.6742369230769231	59.0	103.0	81.0	59.0	44.0	59.0	27.0	192.0	155.0	59.0	203.0
46	dismir	hard_labels		top156	swn	uncalibrated	dismir / hard_labels / top156 / swn / uncalibrated	dismir|hard_labels||top156|swn|uncalibrated	0.9797723909074189	0.7122726267562383	0.6998461543489469	137.0	28.0	82.5	137.0	176.0	137.0	102.0	26.0	187.0	137.0	162.0
48	dismir	hard_labels		top156	swn	linear_simplex_projection	dismir / hard_labels / top156 / swn / linear_simplex_projection	dismir|hard_labels||top156|swn|linear_simplex_projection	0.9799322848818434	0.7095915379304734	0.6972342307692307	130.0	38.0	84.0	130.0	161.0	130.0	158.0	221.0	144.0	130.0	161.0
47	dismir	soft_labels_with_pooling		top156	swn	uncalibrated	dismir / soft_labels_with_pooling / top156 / swn / uncalibrated	dismir|soft_labels_with_pooling||top156|swn|uncalibrated	0.9831518896307424	0.6817703481230568	0.6675138445536082	67.0	101.0	84.0	67.0	89.0	67.0	51.0	7.0	113.0	67.0	112.0
50	dismir	hard_labels		top156	nnls	vector_scaling	dismir / hard_labels / top156 / nnls / vector_scaling	dismir|hard_labels||top156|nnls|vector_scaling	0.9788966544936244	0.7172651565577153	0.7046188461538461	155.0	18.0	86.5	155.0	226.0	155.0	240.0	60.0	20.0	155.0	32.0
49	dismir	soft_labels_without_pooling		top156	psls	vector_scaling	dismir / soft_labels_without_pooling / top156 / psls / vector_scaling	dismir|soft_labels_without_pooling||top156|psls|vector_scaling	0.9822944495832155	0.6870671558652415	0.6781961538461537	85.0	88.0	86.5	85.0	125.0	85.0	159.0	42.0	117.0	85.0	87.0
51	cancerdetector		uniform_prior	top156	psls	vector_scaling	cancerdetector / uniform_prior / top156 / psls / vector_scaling	cancerdetector||uniform_prior|top156|psls|vector_scaling	0.984580310494928	0.6707232403506403	0.6612642307692307	41.0	134.0	87.5	41.0	99.0	41.0	113.0	30.0	1.0	41.0	31.0
53	cancerdetector		train_freq_prior	top156	psls	vector_scaling	cancerdetector / train_freq_prior / top156 / psls / vector_scaling	cancerdetector||train_freq_prior|top156|psls|vector_scaling	0.9836001700093824	0.6756306051719915	0.6680861538461539	58.0	119.0	88.5	58.0	116.0	58.0	125.0	33.0	12.0	58.0	29.0
52	dismir	hard_labels		diagbckg	psls	linear_simplex_projection	dismir / hard_labels / diagbckg / psls / linear_simplex_projection	dismir|hard_labels||diagbckg|psls|linear_simplex_projection	0.9869943425098922	0.6649849528307514	0.6496676923076923	13.0	164.0	88.5	13.0	26.0	13.0	15.0	105.0	112.0	13.0	55.0
